month,provider_group_type,claims_volume,avg_processing_days,first_pass_resolution_rate
2024-01-01,Hospital,2872,13.7,0.87
2024-01-01,Clinic,3084,7.6,0.88
2024-01-01,Specialist,1260,10.7,0.87
2024-02-01,Hospital,2144,5.6,0.84
2024-02-01,Clinic,899,7.7,0.97
2024-02-01,Specialist,3587,6.9,0.76
2024-03-01,Hospital,1207,5.0,0.8
2024-03-01,Clinic,1777,6.4,0.81
2024-03-01,Specialist,3598,10.3,0.94
2024-04-01,Hospital,2257,8.5,0.95
2024-04-01,Clinic,942,11.5,0.94
2024-04-01,Specialist,3376,11.0,0.84
2024-05-01,Hospital,3876,12.2,0.95
2024-05-01,Clinic,3370,12.8,0.77
2024-05-01,Specialist,1519,12.4,0.89
2024-06-01,Hospital,2259,9.0,0.96
2024-06-01,Clinic,1217,7.8,0.92
2024-06-01,Specialist,1904,9.5,0.81
2024-07-01,Hospital,1344,9.8,0.91
2024-07-01,Clinic,3857,7.8,0.81
2024-07-01,Specialist,3664,9.9,0.77
2024-08-01,Hospital,3006,6.0,0.91
2024-08-01,Clinic,2609,7.1,0.79
2024-08-01,Specialist,3474,11.7,0.77
2024-09-01,Hospital,1572,6.6,0.87
2024-09-01,Clinic,2493,6.3,0.89
2024-09-01,Specialist,1868,7.6,0.76
2024-10-01,Hospital,2038,8.3,0.75
2024-10-01,Clinic,927,8.0,0.94
2024-10-01,Specialist,2373,8.4,0.78
2024-11-01,Hospital,1676,6.3,0.88
2024-11-01,Clinic,3453,6.5,0.96
2024-11-01,Specialist,1340,7.1,0.86
2024-12-01,Hospital,3011,8.6,0.78
2024-12-01,Clinic,3496,8.0,0.84
2024-12-01,Specialist,2358,12.1,0.89
